employee_name,email_address,home_address
ROSS Arnoldo,contradistinctive2023@outlook.com,878 Stone  Marquette  Utah  GP 29244
SAMPSON Jesenia,dogged1972@gmail.com,29 France  Folsom  Utah  UG 50167
CHRISTIAN Terrance,charmeuse1866@yandex.com,1043 Russell  New Brunswick  Tennessee  ZM 11600
MARSH Wanetta,docherty1847@yandex.com,29 Grafton  Fort Collins  Minnesota  PR 13437
LEVY Santiago,namelessly2024@outlook.com,711 Maiden  Shively  Delaware  NI 40480
KAUFMAN Amee,clamber1809@outlook.com,1044 Burnett  Waco  Hawaii  LY 52365
TILLMAN Andre,conjure1913@live.com,1077 Aloha  Ballwin  New York  NR 11373
PETERSON Elinore,amaryllis1861@gmail.com,1335 Del Sur  Huntsville  Indiana  UZ 54774
POTTS Houston,chinaberry2045@gmail.com,670 Zoe  Titusville  New York  AW 93814
MCINTYRE Lane,churinga1828@yandex.com,1331 Brazil  Long Branch  South Dakota  CU 97827
CLINE Blake,wastiest1981@live.com,1234 Revello  Sayreville  Idaho  ZW 38453
OSBORN Yevette,enteron2003@live.com,739 Acton  Southaven  Pennsylvania  NO 77724
BARRON Domenic,brachydiagonal1917@live.com,611 Greenview  Port Orange  Washington  RE 31694
MAYER Elvina,beachman1854@yahoo.com,564 Topaz  Los Altos  Idaho  ML 60613
REILLY Paul,comart1860@gmail.com,554 Rosemary  Flint  Idaho  KI 58098
BROWN Hanh,pademelon1867@outlook.com,1127 Eutaw  Arnold  Vermont  GH 50459
SWANSON German,longshoremen2067@yandex.com,1282 Howth  Massillon  California  AR 83658
FRENCH Reginia,equalling1891@outlook.com,703 Caire  Aventura  Washington  EE 96292
VALENTINE Anderson,brennand1997@outlook.com,278 Cascade  Pinole  Tennessee  BD 76090
EMERSON Magaly,ferrous1823@gmail.com,1282 Treasure Island  Selma  Kansas  EG 93270
POWELL Alphonso,ethelyn2066@outlook.com,610 Bertie Minor  Van Buren  Maryland  TV 37231
HOWARD Enola,gulonic1984@yandex.com,798 Evergreen  Cuyahoga Falls  Iowa  ZA 44898
ELLIS Fritz,cardia2067@outlook.com,566 Rolph  Petaluma  Wyoming  RU 97297
PATTERSON Magali,pooled1841@live.com,1153 La Ferrera  McMinnville  Maine  SD 22006
